date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:41	152/152	---MCZ	200	added ('OK')	text/plain	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/robots.txt		(from )
14:23:41	16226/16226	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/	C:/My%20Websites/lichao_work/www.lichao.work/index.html	(from )
14:23:42	26315/26315	---MCZ	200	added ('OK')	text/css	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/site.css?v=	C:/My%20Websites/lichao_work/www.lichao.work/siteec92.css	(from http://www.lichao.work/)
14:23:42	41029/41029	---M-Z	200	added ('OK')	application/x-javascript	etag:%226e4534b164fd11:0%22	http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1	C:/My%20Websites/lichao_work/img1.wsimg.com/starfield/duel/v2.5.8/duel35bd.js	(from http://www.lichao.work/)
14:23:43	31857/31857	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/resume.html	C:/My%20Websites/lichao_work/www.lichao.work/resume.html	(from http://www.lichao.work/)
14:23:43	16226/16226	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/home.html	C:/My%20Websites/lichao_work/www.lichao.work/home.html	(from http://www.lichao.work/)
14:23:43	5969/5969	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202b9e6ff26d11:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	C:/My%20Websites/lichao_work/img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	(from http://www.lichao.work/)
14:23:43	17368/17368	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Aug%202017%2023:52:48%20GMT	http://www.lichao.work/contact.html	C:/My%20Websites/lichao_work/www.lichao.work/contact.html	(from http://www.lichao.work/)
14:23:43	373/373	---M--	200	added ('OK')	image/png	etag:%22b25e57d1ea6d31:0%22	https://img1.wsimg.com/wst/v7/WSB7_J_20170727_0804_WSB-17024_801/v2/images/wsb-slideshow-nav-arrows-sprt.png	C:/My%20Websites/lichao_work/img1.wsimg.com/wst/v7/WSB7_J_20170727_0804_WSB-17024_801/v2/images/wsb-slideshow-nav-arrows-sprt.png	(from http://www.lichao.work/site.css?v=)
14:23:44	964/964	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Sep%202017%2018:23:43%20GMT	http://www.lichao.work/css!starfield/sf.core.css	C:/My%20Websites/lichao_work/www.lichao.work/css!starfield/sf.core.css	(from http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1)
